enalapril	thiazide-type diuretics	effect	agents increasing serum potassium : enalapril and enalapril iv attenuate potassium loss caused by thiazide-type diuretics .
STRATTERA	fluoxetine	advise	dosage adjustment of strattera may be necessary when coadministered with cyp2d6 inhibitors , e.g. , paroxetine , fluoxetine , and quinidine .
meclofenamate sodium	warfarin	advise	therefore , when meclofenamate sodium is given to a patient receiving warfarin , the dosage of warfarin should be reduced to prevent excessive prolongation of the prothrombin time .
glucocorticoids	PROLEUKIN	effect	although glucocorticoids have been shown to reduce proleukin induced side effects including fever , renal insufficiency , hyperbilirubinemia , confusion , and dyspnea , concomitant administration of these agents with proleukin may reduce the antitumor effectiveness of proleukin and thus should be avoided. dg beta blockers and other antihypertensives may potentiate the hypotension seen with proleukin .
asparaginase	PROLEUKIN	effect	concurrent administration of drugs possessing nephrotoxic ( e.g. , aminoglycosides , indomethacin ) , myelotoxic ( e.g. , cytotoxic chemotherapy ) , cardiotoxic ( e.g. , doxorubicin ) or hepatotoxic ( e.g. , methotrexate , asparaginase ) effects with proleukin may increase toxicity in these organ systems .
diuretics	beta2-agonists	effect	corticosteroids , methylxanthines and diuretics : concomitant treatment with xanthine derivatives , steroids , or diuretics may potentiate a possible hypokalemic effect of beta2-agonists .
Fenfluramine	guanethidine	effect	fenfluramine may increase slightly the effect of antihypertensive drugs , e.g. , guanethidine , methyldopa , reserpine .
SULAR	phenytoin	advise	coadministration of sular with phenytoin or any known cyp3a4 inducer should be avoided and alternative antihypertensive therapy should be considered .
enalaprilat	diuretic	effect	the possibility of hypotensive effects with enalapril or enalaprilat can be minimized by either discontinuing the diuretic or increasing the salt intake prior to initiation of treatment with enalapril or enalaprilat .
lithium	ACE inhibitors	effect	lithium : lithium toxicity has been reported in patients receiving lithium concomitantly with drugs which cause elimination of sodium , including ace inhibitors .
NSAIDs	ACE inhibitors	advise	this interaction should be given consideration in patients taking nsaids concomitantly with ace inhibitors .
Isocarboxazid	disulfiram	advise	isocarboxazid should be administered with caution to patients receiving antabuse ( disulfiram , wyeth ayerst laboratories ) .
fluoxetine	atomoxetine	mechanism	in em individuals treated with paroxetine or fluoxetine , the auc of atomoxetine is approximately dg to dg fold and css , max is about dg to dg fold greater than atomoxetine alone .
norepinephrine	tricyclic antidepressants	effect	the administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors , tricyclic antidepressants or phenothiazines may produce severe , prolonged hypotension or hypertension .
anesthetic solutions	tricyclic antidepressants	effect	the administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors , tricyclic antidepressants or phenothiazines may produce severe , prolonged hypotension or hypertension .
cytotoxic	PROLEUKIN	effect	concurrent administration of drugs possessing nephrotoxic ( e.g. , aminoglycosides , indomethacin ) , myelotoxic ( e.g. , cytotoxic chemotherapy ) , cardiotoxic ( e.g. , doxorubicin ) or hepatotoxic ( e.g. , methotrexate , asparaginase ) effects with proleukin may increase toxicity in these organ systems .
PROLEUKIN	antineoplastic agents	effect	hypersensitivity reactions have been reported in patients receiving combination regimens containing sequential high dose proleukin and antineoplastic agents , specifically , dacarbazine , cis platinum , tamoxifen and interferon alfa .
lovastatin	fibrate	effect	for these reasons , it is felt that , in most subjects who have had an unsatisfactory lipid response to either drug alone , the possible benefits of combined therapy with lovastatin and a fibrate do not outweigh the risks of severe myopathy , rhabdomyolysis , and acute renal failure .
probenecid	cefprozil	mechanism	concomitant administration of probenecid doubled the auc for cefprozil .
cephalosporins	furosemide	effect	nephrotoxicity has been reported following concomitant administration of cephalosporins with aminoglycoside antibiotics or potent diuretics such as furosemide .
quinolones	theophylline	mechanism	theophylline : as with some other quinolones , concurrent administration of ciprofloxacin with theophylline may lead to elevated serum concentrations of theophylline and prolongation of its elimination half life .
ciprofloxacin	glyburide	effect	glyburide : the concomitant administration of ciprofloxacin with the sulfonylurea glyburide has , on rare occasions , resulted in severe hypoglycemia .
quinolone	magnesium	mechanism	multivalent cation containing products : concurrent administration of a quinolone , including ciprofloxacin , with multivalent cation containing products such as magnesium or aluminum antacids , sucralfate , videx chewable / buffered tablets or pediatric powder , or products containing calcium , iron , or zinc may substantially decrease the absorption of ciprofloxacin , resulting in serum and urine levels considerably lower than desired .
quinolone	iron	mechanism	multivalent cation containing products : concurrent administration of a quinolone , including ciprofloxacin , with multivalent cation containing products such as magnesium or aluminum antacids , sucralfate , videx chewable / buffered tablets or pediatric powder , or products containing calcium , iron , or zinc may substantially decrease the absorption of ciprofloxacin , resulting in serum and urine levels considerably lower than desired .
acetaminophen	Gleevec	mechanism	systemic exposure to acetaminophen is expected to be increased when coadministered with gleevec .
Gleevec	cyclosporine	advise	particular caution is recommended when administering gleevec with cyp3a4 substrates that have a narrow therapeutic window ( e.g. , cyclosporine or pimozide ) .
cephalosporins	diuretics	effect	nephrotoxicity has been reported following concomitant administration of cephalosporins with aminoglycoside antibiotics or potent diuretics such as furosemide .
phenytoin	ciprofloxacin	mechanism	phenytoin : altered serum levels of phenytoin ( increased and decreased ) have been reported in patients receiving concomitant ciprofloxacin .
ciprofloxacin	ciprofloxacin	mechanism	multivalent cation containing products : concurrent administration of a quinolone , including ciprofloxacin , with multivalent cation containing products such as magnesium or aluminum antacids , sucralfate , videx chewable / buffered tablets or pediatric powder , or products containing calcium , iron , or zinc may substantially decrease the absorption of ciprofloxacin , resulting in serum and urine levels considerably lower than desired .
fentanyl	saquinavir	mechanism	although specific studies have not been performed , coadministration with drugs that are mainly metabolized by cyp3a4 ( eg , calcium channel blockers , dapsone , disopyramide , quinine , amiodarone , quinidine , warfarin , tacrolimus , cyclosporine , ergot derivatives , pimozide , carbamazepine , fentanyl , alfentanyl , alprazolam , and triazolam ) may have elevated plasma concentrations when coadministered with saquinavir ;
triazolam	saquinavir	mechanism	although specific studies have not been performed , coadministration with drugs that are mainly metabolized by cyp3a4 ( eg , calcium channel blockers , dapsone , disopyramide , quinine , amiodarone , quinidine , warfarin , tacrolimus , cyclosporine , ergot derivatives , pimozide , carbamazepine , fentanyl , alfentanyl , alprazolam , and triazolam ) may have elevated plasma concentrations when coadministered with saquinavir ;
quinine	saquinavir	mechanism	although specific studies have not been performed , coadministration with drugs that are mainly metabolized by cyp3a4 ( eg , calcium channel blockers , dapsone , disopyramide , quinine , amiodarone , quinidine , warfarin , tacrolimus , cyclosporine , ergot derivatives , pimozide , carbamazepine , fentanyl , alfentanyl , alprazolam , and triazolam ) may have elevated plasma concentrations when coadministered with saquinavir ;
epinephrine	phenothiazines	effect	the administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors , tricyclic antidepressants or phenothiazines may produce severe , prolonged hypotension or hypertension .
L-tyrosine	MAO inhibitors	effect	non selective mao inhibitors including tranylcypromine sulfate , phenelzine sulfate , and pargyline hc1 : concomitant use of l-tyrosine and non selective mao inhibitors may cause hypertension .
Gleevec	itraconazole	advise	drugs that may alter imatinib plasma concentrations drugs that may increase imatinib plasma concentrations : caution is recommended when administering gleevec with inhibitors of the cyp3a4 family ( e.g. , ketoconazole , itraconazole , erythromycin , clarithromycin ) .
Gleevec	HMG-CoA reductase inhibitors	mechanism	gleevec will increase plasmaconcentration of other cyp3a4 metabolized drugs ( e.g. , triazolo benzodiazepines , dihydropyridine calcium channel blockers , certain hmg-coa reductase inhibitors , etc. ) .
anticoagulants	Atromid-S	advise	caution should be exercised when anticoagulants are given in conjunction with atromid-s .
Atromid-S	phenytoin	mechanism	atromid-s may displace acidic drugs such as phenytoin or tolbutamide from their binding sites .
aminoglycoside antibiotics	cephalosporin antibiotics	effect	nephrotoxicity has been reported following concomitant administration of aminoglycoside antibiotics and cephalosporin antibiotics .
Probenecid	ciprofloxacin	mechanism	probenecid : probenecid interferes with renal tubular secretion of ciprofloxacin and produces an increase in the level of ciprofloxacin in serum .
Quinolones	warfarin	effect	warfarin : quinolones have been reported to enhance the effects of the oral anticoagulant warfarin or its derivatives .
ciprofloxacin	sulfonylurea	effect	glyburide : the concomitant administration of ciprofloxacin with the sulfonylurea glyburide has , on rare occasions , resulted in severe hypoglycemia .
disopyramide	saquinavir	mechanism	although specific studies have not been performed , coadministration with drugs that are mainly metabolized by cyp3a4 ( eg , calcium channel blockers , dapsone , disopyramide , quinine , amiodarone , quinidine , warfarin , tacrolimus , cyclosporine , ergot derivatives , pimozide , carbamazepine , fentanyl , alfentanyl , alprazolam , and triazolam ) may have elevated plasma concentrations when coadministered with saquinavir ;
amiodarone	saquinavir	mechanism	although specific studies have not been performed , coadministration with drugs that are mainly metabolized by cyp3a4 ( eg , calcium channel blockers , dapsone , disopyramide , quinine , amiodarone , quinidine , warfarin , tacrolimus , cyclosporine , ergot derivatives , pimozide , carbamazepine , fentanyl , alfentanyl , alprazolam , and triazolam ) may have elevated plasma concentrations when coadministered with saquinavir ;
INVIRASE	ritonavir	advise	since invirase is coadministered with ritonavir , the ritonavir label should be reviewed for additional drugs that should not be coadministered .
Flupenthixol	MAOI	int	drug interactions : flupenthixol may interact with some drugs , like monoamine oxidase inhibitors ( maoi ) : maoi could theoretically affect flupenthixol pharmacodynamics arecoline eproxindine ethanol : flupenthixol and ethanol cause additive cns depression tricyclic antidepressants : flupenthixol increases the effect of tricyclic antidepressants
MAOI	flupenthixol	effect	drug interactions : flupenthixol may interact with some drugs , like monoamine oxidase inhibitors ( maoi ) : maoi could theoretically affect flupenthixol pharmacodynamics arecoline eproxindine ethanol : flupenthixol and ethanol cause additive cns depression tricyclic antidepressants : flupenthixol increases the effect of tricyclic antidepressants
Lincomycin	neuromuscular blocking agents	effect	lincomycin has been shown to have neuromuscular blocking properties that may enhance the action of other neuromuscular blocking agents .
alprazolam	nifedipine	int	data from in vitro studies of benzodiazepines other than alprazolam suggest a possible drug interaction for the following : ergotamine , cyclosporine , amiodarone , nicardipine , and nifedipine .
benzodiazepines	amiodarone	int	data from in vitro studies of benzodiazepines other than alprazolam suggest a possible drug interaction for the following : ergotamine , cyclosporine , amiodarone , nicardipine , and nifedipine .
phenobarbital	saquinavir	mechanism	coadministration with compounds that are potent inducers of cyp3a4 ( eg , phenobarbital , phenytoin , dexamethasone , carbamazepine ) may result in decreased plasma levels of saquinavir .
carbamazepine	saquinavir	mechanism	coadministration with compounds that are potent inducers of cyp3a4 ( eg , phenobarbital , phenytoin , dexamethasone , carbamazepine ) may result in decreased plasma levels of saquinavir .
lincomycin	erythromycin	effect	antagonism between lincomycin and erythromycin in vitro has been demonstrated .
imipramine	alprazolam	mechanism	the steady state plasma concentrations of imipramine and desipramine have been reported to be increased an average of dg % and dg % , respectively , by the concomitant administration of alprazolam tablets in doses up to dg mg / day .
benzodiazepines	nicardipine	int	data from in vitro studies of benzodiazepines other than alprazolam suggest a possible drug interaction for the following : ergotamine , cyclosporine , amiodarone , nicardipine , and nifedipine .
alprazolam	amiodarone	int	data from in vitro studies of benzodiazepines other than alprazolam suggest a possible drug interaction for the following : ergotamine , cyclosporine , amiodarone , nicardipine , and nifedipine .
propoxyphene	alprazolam	mechanism	coadministration of propoxyphene decreased the maximum plasma concentration of alprazolam by dg % , decreased clearance by dg % , and increased half life by dg % .
diflunisal	acetaminophen	mechanism	acetaminophen : in normal volunteers , concomitant administration of diflunisal and acetaminophen resulted in an approximate dg % increase in plasma levels of acetaminophen .
Nonsteroidal anti-inflammatory drugs	methotrexate	mechanism	nonsteroidal anti-inflammatory drugs have been reported to decrease the tubular secretion of methotrexate and to potentiate its toxicity .
Diflunisal	hydrochlorothiazide	effect	diflunisal decreased the hyperuricemic effect of hydrochlorothiazide .
ciprofloxacin	magnesium	mechanism	multivalent cation containing products : concurrent administration of a quinolone , including ciprofloxacin , with multivalent cation containing products such as magnesium or aluminum antacids , sucralfate , videx chewable / buffered tablets or pediatric powder , or products containing calcium , iron , or zinc may substantially decrease the absorption of ciprofloxacin , resulting in serum and urine levels considerably lower than desired .
quinolone	VIDEX	mechanism	multivalent cation containing products : concurrent administration of a quinolone , including ciprofloxacin , with multivalent cation containing products such as magnesium or aluminum antacids , sucralfate , videx chewable / buffered tablets or pediatric powder , or products containing calcium , iron , or zinc may substantially decrease the absorption of ciprofloxacin , resulting in serum and urine levels considerably lower than desired .
androgens	insulin	effect	in diabetic patients , the metabolic effects of androgens may decrease blood glucose and therefore , insulin requirements .
fluoxetine	alprazolam	mechanism	drugs demonstrated to be cyp 3a inhibitors of possible clinical significance on the basis of clinical studies involving alprazolam ( caution is recommended during coadministration with alprazolam ) : coadministration of fluoxetine with alprazolam increased the maximum plasma concentration of alprazolam by dg % , decreased clearance by dg % , increased half life by dg % , and decreased measured psychomotor performance .
alprazolam	isoniazid	int	drugs and other substances demonstrated to be cyp 3a inhibitors on the basis of clinical studies involving benzodiazepines metabolized similarly to alprazolam or on the basis of in vitro studies with alprazolam or other benzodiazepines ( caution is recommended during coadministration with alprazolam ) : available data from clinical studies of benzodiazepines other than alprazolam suggest a possible drug interaction with alprazolam for the following : diltiazem , isoniazid , macrolide antibiotics such as erythromycin and clarithromycin , and grapefruit juice .
alprazolam	macrolide antibiotics	int	drugs and other substances demonstrated to be cyp 3a inhibitors on the basis of clinical studies involving benzodiazepines metabolized similarly to alprazolam or on the basis of in vitro studies with alprazolam or other benzodiazepines ( caution is recommended during coadministration with alprazolam ) : available data from clinical studies of benzodiazepines other than alprazolam suggest a possible drug interaction with alprazolam for the following : diltiazem , isoniazid , macrolide antibiotics such as erythromycin and clarithromycin , and grapefruit juice .
contraceptives	alprazolam	mechanism	coadministration of oral contraceptives increased the maximum plasma concentration of alprazolam by dg % , decreased clearance by dg % , and increased half life by dg % .
NSAIDs	cyclosporine	advise	nsaids should be used with caution in patients taking cyclosporine , and renal function should be carefully monitored .
BOTOX	aminoglycosides	advise	co administration of botox and aminoglycosides or other agents interfering with neuromuscular transmission ( e.g. , curare like compounds ) should only be performed with caution as the effect of the toxin may be potentiated .
tricyclic anti-depressants	bepridil hydrochloride	effect	anti arrhythmics and tricyclic anti-depressants could exaggerate the prolongation of the qt interval observed with bepridil hydrochloride .
mineral oil	vitamin K	mechanism	mineral oil concomitant intake of mineral oil and vitamin k may reduce the absorption of vitamin k .
atorvastatin	erythromycin	mechanism	erythromycin : in healthy individuals , plasma concentrations of atorvastatin increased approximately dg % with coadministration of atorvastatin and erythromycin , a known inhibitor of cytochrome p450 dg .
LEVSIN	haloperidol	effect	additive adverse effects resulting from cholinergic blockade may occur when levsin is administered concomitantly with other antimuscarinics , amantadine , haloperidol , phenothiazines , monoamine oxidase ( mao ) inhibitors , tricyclic antidepressants or some antihistamines .
ketoconazole	budesonide	advise	if treatment with inhibitors of cyp3a4 activity ( such as ketoconazole , intraconazole , ritonavir , indinavir , saquinavir , erythromycin , etc. ) is indicated , reduction of the budesonide dose should be considered .
Colchicine	CNS depressants	effect	colchicine may increase sensitivity to the cns depressants .
FLEXERIL	alcohol	effect	flexeril may enhance the effects of alcohol , barbiturates , and other cns depressants .
Tricyclic antidepressants	tramadol	effect	tricyclic antidepressants may enhance the seizure risk in patients taking tramadol
botulinum toxin	botulinum toxin	effect	excessive neuromuscular weakness may be exacerbated by administration of another botulinum toxin prior to the resolution of the effects of a previously administered botulinum toxin .
ketoconazole	lapatinib	mechanism	ketoconazole : in healthy subjects receiving ketoconazole , a cyp3a4 inhibitor , at dg mg twice daily for dg days , systemic exposure ( auc ) to lapatinib was increased to approximately dg fold of control and half life increased to dg fold of control .
cholestyramine	vitamin K	mechanism	cholestyramine concomitant intake of cholestyramine and vitamin k may reduce the absorption of vitamin k .
LEVSIN	amantadine	effect	additive adverse effects resulting from cholinergic blockade may occur when levsin is administered concomitantly with other antimuscarinics , amantadine , haloperidol , phenothiazines , monoamine oxidase ( mao ) inhibitors , tricyclic antidepressants or some antihistamines .
intraconazole	budesonide	advise	if treatment with inhibitors of cyp3a4 activity ( such as ketoconazole , intraconazole , ritonavir , indinavir , saquinavir , erythromycin , etc. ) is indicated , reduction of the budesonide dose should be considered .
indinavir	budesonide	advise	if treatment with inhibitors of cyp3a4 activity ( such as ketoconazole , intraconazole , ritonavir , indinavir , saquinavir , erythromycin , etc. ) is indicated , reduction of the budesonide dose should be considered .
colchicine	alkalinizing agents	mechanism	the action of colchicine is potentiated by alkalinizing agents .
Argatroban	thrombolytics	effect	co administration : concomitant use of argatroban with antiplatelet agents , thrombolytics , and other anticoagulants may increase the risk of bleeding .
Argatroban	anticoagulants	effect	co administration : concomitant use of argatroban with antiplatelet agents , thrombolytics , and other anticoagulants may increase the risk of bleeding .
Phenothiazines	epinephrine	effect	phenothiazines and butyrophenones may reduce or reverse the pressor effect of epinephrine .
diflunisal	warfarin	effect	oral anticoagulants : in some normal volunteers , the concomitant administration of diflunisal and warfarin , acenocoumarol , or phenprocoumon resulted in prolongation of prothrombin time .
diflunisal	methotrexate	advise	methotrexate : caution should be used if diflunisal is administered concomitantly with methotrexate .
Tricyclic antidepressants	clonidine	effect	tricyclic antidepressants have been reported to blunt the hypotensive effect of systemic clonidine.it is not known whether the concurrent use of these agents with alphagan p in humans can lead to resulting interference with the iop lowering effect .
colestipol	vitamin K	mechanism	colestipol concomitant intake of colestipol and vitamin k may reduce the absorption of vitamin k .
Vitamin K	warfarin	effect	warfarin vitamin k can antagonize the effect of warfarin
nitroglycerin	vasodilators	effect	the vasodilating effects of nitroglycerin may be additive with those of other vasodilators .
calcium channel blockers	nitrates	effect	marked symptomatic orthostatic hypotension has been reported when calcium channel blockers and organic nitrates were used in combination .
atorvastatin	Maalox TC	mechanism	antacid : when atorvastatin and maalox tc suspension were coadministered , plasma concentrations of atorvastatin decreased approximately dg % .
atorvastatin	ethinyl estradiol	mechanism	oral contraceptives : coadministration of atorvastatin and an oral contraceptive increased auc values for norethindrone and ethinyl estradiol by approximately dg % and dg % .
colestipol	atorvastatin	mechanism	colestipol : plasma concentrations of atorvastatin decreased approximately dg % when colestipol and atorvastatin were coadministered .
cerivastatin sodium	cholestyramine	mechanism	in the first study , concomitant administration of dg mg cerivastatin sodium and dg g cholestyramine resulted in decreases of more than dg % for auc and dg % for cmax when compared to dosing cerivastatin sodium alone .
naltrexone	Acamprosate	mechanism	co administration of naltrexone with acamprosate produced a dg % increase in auc and a dg % increase in the cmax of acamprosate .
nonsteroidal anti-inflammatory drugs	ardeparin	effect	anticoagulants including coumarin derivatives , indandione derivatives , and platelet aggregation inhibitors such as nonsteroidal anti-inflammatory drugs ( nsaids ) , and aspirin may increase the risk of bleeding when administered concomitantly with ardeparin .
enalapril	diuretic	effect	the possibility of hypotensive effects with enalapril or enalaprilat can be minimized by either discontinuing the diuretic or increasing the salt intake prior to initiation of treatment with enalapril or enalaprilat .
enalapril	lithium	advise	it is recommended that serum lithium levels be monitored frequently if enalapril is administered concomitantly with lithium .
norepinephrine	phenothiazines	effect	the administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors , tricyclic antidepressants or phenothiazines may produce severe , prolonged hypotension or hypertension .
anesthetic solutions	phenothiazines	effect	the administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors , tricyclic antidepressants or phenothiazines may produce severe , prolonged hypotension or hypertension .
epinephrine	monoamine oxidase inhibitors	effect	the administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors , tricyclic antidepressants or phenothiazines may produce severe , prolonged hypotension or hypertension .
Beta-blockers	PROLEUKIN	effect	although glucocorticoids have been shown to reduce proleukin induced side effects including fever , renal insufficiency , hyperbilirubinemia , confusion , and dyspnea , concomitant administration of these agents with proleukin may reduce the antitumor effectiveness of proleukin and thus should be avoided. dg beta-blockers and other antihypertensives may potentiate the hypotension seen with proleukin .
cephalosporins	aminoglycoside antibiotics	effect	increased nephrotoxicity has been reported following concomitant administration of cephalosporins and aminoglycoside antibiotics .
sympathomimetic agents	FORADIL	effect	concomitant administration of other sympathomimetic agents may potentiate the undesirable effects of foradil .
Fenfluramine	antihypertensive drugs	effect	fenfluramine may increase slightly the effect of antihypertensive drugs , e.g. , guanethidine , methyldopa , reserpine .
CNS depressant drugs	fenfluramine	advise	other cns depressant drugs should be used with caution in patients taking fenfluramine , since the effects may be additive .
diuretics	enalapril	effect	hypotension : patients on diuretic therapy : patients on diuretics and especially those in whom diuretic therapy was recently instituted , may occasionally experience an excessive reduction of blood pressure after initiation of therapy with enalapril or enalaprilat .
enalapril	antihypertensive agents	effect	agents causing renin release : the antihypertensive effect of enalapril and enalapril iv is augmented by antihypertensive agents that cause renin release ( e.g. , diuretics ) .
paroxetine	atomoxetine	mechanism	in em individuals treated with paroxetine or fluoxetine , the auc of atomoxetine is approximately dg to dg fold and css , max is about dg to dg fold greater than atomoxetine alone .
epinephrine	tricyclic antidepressants	effect	the administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors , tricyclic antidepressants or phenothiazines may produce severe , prolonged hypotension or hypertension .
vasopressor drugs	ergot-type oxytocic drugs	effect	concurrent administration of vasopressor drugs ( for the treatment of hypotension related to obstetric blocks ) and ergot-type oxytocic drugs may cause severe , persistent hypertension or cerebrovascular accidents .
probenecid	penciclovir	mechanism	concurrent use with probenecid or other drugs significantly eliminated by active renal tubular secretion may result in increased plasma concentrations of penciclovir .
FORADIL	monoamine oxidase inhibitors	advise	monoamine oxidase inhibitors and tricyclic antidepressants : foradil should be administered with extreme caution in patients being treated with monoamine oxidase inhibitors or tricyclic antidepressants because the action of formoterol on the cardiovascular system may be potentiated by these agents .
platelet aggregation inhibitors	ardeparin	effect	anticoagulants including coumarin derivatives , indandione derivatives , and platelet aggregation inhibitors such as nonsteroidal anti inflammatory drugs ( nsaids ) , and aspirin may increase the risk of bleeding when administered concomitantly with ardeparin .
nisoldipine	cimetidine 400 mg	mechanism	a dg to dg % increase in auc and cmax of nisoldipine was observed with concomitant administration of cimetidine 400 mg twice daily .
nisoldipine	quinidine	mechanism	the immediate release , but not the coat core formulation of nisoldipine increased plasma quinidine concentrations by about dg % .
diuretics	enalaprilat	effect	hypotension : patients on diuretic therapy : patients on diuretics and especially those in whom diuretic therapy was recently instituted , may occasionally experience an excessive reduction of blood pressure after initiation of therapy with enalapril or enalaprilat .
Enalapril	thiazide-type diuretics	effect	agents increasing serum potassium : enalapril and enalapril iv attenuate potassium loss caused by thiazide-type diuretics .
enalapril	diuretics	effect	agents causing renin release : the antihypertensive effect of enalapril and enalapril iv is augmented by antihypertensive agents that cause renin release ( e.g. , diuretics ) .
NSAIDs	ACE inhibitors	effect	however , reports suggest that nsaids may diminish the antihypertensive effect of ace inhibitors .
MAO inhibitor	disulfiram	effect	in a single study , rats given high intraperitoneal doses of an mao inhibitor plus disulfiram experienced severe toxicity , including convulsions and death .
STRATTERA	paroxetine	advise	dosage adjustment of strattera may be necessary when coadministered with cyp2d6 inhibitors , e.g. , paroxetine , fluoxetine , and quinidine .
xanthine derivatives	beta2-agonists	effect	corticosteroids , methylxanthines and diuretics : concomitant treatment with xanthine derivatives , steroids , or diuretics may potentiate a possible hypokalemic effect of beta2-agonists .
NSAIDs	ardeparin	effect	anticoagulants including coumarin derivatives , indandione derivatives , and platelet aggregation inhibitors such as nonsteroidal anti inflammatory drugs ( nsaids ) , and aspirin may increase the risk of bleeding when administered concomitantly with ardeparin .
aspirin	ardeparin	effect	anticoagulants including coumarin derivatives , indandione derivatives , and platelet aggregation inhibitors such as nonsteroidal anti inflammatory drugs ( nsaids ) , and aspirin may increase the risk of bleeding when administered concomitantly with ardeparin .
enalapril	diuretics	effect	agents causing renin release : the antihypertensive effect of enalapril and enalapril iv is augmented by antihypertensive agents that cause renin release ( e.g. , diuretics ) .
Isocarboxazid	psychotropic agents	advise	concomitant use of isocarboxazid and other psychotropic agents is generally not recommended because of possible potentiating effects .
STRATTERA	quinidine	advise	dosage adjustment of strattera may be necessary when coadministered with cyp2d6 inhibitors , e.g. , paroxetine , fluoxetine , and quinidine .
Warfarin	Meclofenamate sodium	effect	warfarin : meclofenamate sodium enhances the effect of warfarin .
aspirin	meclofenamate sodium	mechanism	aspirin : concurrent administration of aspirin may lower meclofenamate sodium plasma levels , possibly by competing for protein binding sites .
indomethacin	PROLEUKIN	effect	concurrent administration of drugs possessing nephrotoxic ( e.g. , aminoglycosides , indomethacin ) , myelotoxic ( e.g. , cytotoxic chemotherapy ) , cardiotoxic ( e.g. , doxorubicin ) or hepatotoxic ( e.g. , methotrexate , asparaginase ) effects with proleukin may increase toxicity in these organ systems .
methotrexate	PROLEUKIN	effect	concurrent administration of drugs possessing nephrotoxic ( e.g. , aminoglycosides , indomethacin ) , myelotoxic ( e.g. , cytotoxic chemotherapy ) , cardiotoxic ( e.g. , doxorubicin ) or hepatotoxic ( e.g. , methotrexate , asparaginase ) effects with proleukin may increase toxicity in these organ systems .
Acamprosate	antidepressants	effect	patients taking acamprosate concomitantly with antidepressants more commonly reported both weight gain and weight loss , compared with patients taking either medication alone .
Betaseron	antipyrine	mechanism	betaseron administration to three cancer patients over a dose range of dg mg to dg mg led to a dose dependent inhibition of antipyrine elimination.14 the effect of alternate day administration of dg mg of betaseron on drug metabolism in ms patients is unknown .
Propranolol	nisoldipine	effect	propranolol attenuated the heart rate increase following administration of immediate release nisoldipine .
SULAR	atenolol	effect	the blood pressure effect of sular tended to be greater in patients on atenolol than in patients on no other antihypertensive therapy .
